"Keuangan - Pengajuan Bantuan Keuangan","Pengajuan Bantuan Keuangan dapat mengisi form pada sibaku.ub.ac.id"
"Akademik : Transkrip final validasi rektor dan dekan","Terimakasih telah menghubungi halo filkom,<br />Transkrip Final yang sudah divalidasi rektor dan dekan bisa didapatkan setelah wisuda Terimakasih"
"Akademik_Sertifikasi IT","Terimakasih telah menghubungi halo filkom,<br />Informasi sertifikasi IT bisa cek pada laman yang disediakan <a href=""https://sertifikasi.ub.ac.id/""><br />https://sertifikasi.ub.ac.id/</a> Terimakasih"
"Akademik ; Pengambilan Ijazah Non Prosesi","Selamat Pagi, untuk pengambilan hari Senin - Jumat pukul 14.00-15.00 Bisa input dilink berikut : <a href=""https://bit.ly/Pengambilan_Ijazah_Filkom"" target=""_blank"">https://bit.ly/Pengambilan_Ijazah_Filkom</a> Terima kasih"
"Akademik ; Pengajuan Transkrip (keperluan beasiswa, mhs DO, semhas validasi KPS, dll)","Selamat Pagi, bisa akses link berikut : <a href=""https://bit.ly/TranskripNilaiFilkom"" target=""_blank"">https://bit.ly/TranskripNilaiFilkom</a> Terima Kasih"
"Akademik_Pengajuan transkrip validasi KPS - JTIF","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link layanan akademik FILKOM UB (JTIF ada pada kolom poin no 13 sebelah kanan)<br /><a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik/"">https://filkom.ub.ac.id/pendidikan/layanan-akademik/<br /></a> <span style=""color:rgb(0, 0, 0)"">1 permintaan Link transkrip awal (no 13)<br />2 transkrip no 1 dikirimkan ke link berikutnya pada poin yg sama (no 13)<br /></span> <span style=""color:rgb(0, 0, 0)"">Terimakasih</span>"
"Akademik ; Layanan Ruang Baca Filkom UB","Mohon maaf, ruang baca filkom belum bisa melayani secara online. Untuk sementara waktu hanya bisa memberikan opacnya saja melalui : <a href=""http://10.34.15.14/slims7_cendana/"">http://10.34.15.14/slims7_cendana/</a> Catatan :<br />- wajib menggunakan VPN jika diakses di luar UB<br />- kalau Mahasiswa berada di malang, jam operasional layanan Ruang Baca pkl 8.30 sd 15.00<br />- akan tetapi jika tidak di malang dan memerlukan sumber data bisa melakukan pesanan ke petugas, bisa melalui kontak WA di bawah ini :<br />bp Syaifudin : 081555850538<br />bp Pranoe T : 082232834561 terimakasih."
"Akademik_Turnitin (prasyarat s.d melihat hasil turnitin)","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link terkait prasyarat pengecekan plagiasi turnitin Filkom UB :<a href=""https://filkom.ub.ac.id/2019/02/01/panduan-pemeriksaan-plagiasi-file-skripsi/"">https://filkom.ub.ac.id/2019/02/01/panduan-pemeriksaan-plagiasi-file-skripsi/</a> Terimakasih"
"Akademik ; Transkrip legalisir","Terimakasih telah menghubungi halo filkom,<br />Jika sudah wisuda : <a href=""https://bit.ly/LegalisirFilkom"" target=""_blank"">https://bit.ly/LegalisirFilkom</a><br />Jjika belum wisuda maka silahkan akses link berkut : <a href=""https://bit.ly/TranskripNilaiFilkom"" target=""_blank"">https://bit.ly/TranskripNilaiFilkom</a> Terima kasih"
"Akademik_Persyaratan Semhas & Ujian Skripsi Filkom","Terimakasih telah menghubungi halo filkom,<br />Persyaratan Semhas dan Ujian Skripsi :<br />1 Mendaftar pada filkom apps<br />2 Mengisi GForm kelengkapan pengajuan semhas (no 15 : <a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik/"">https://filkom.ub.ac.id/pendidikan/layanan-akademik/</a>) Terimakasih"
"Akademik_Ujian Khusus Filkom UB","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link pengajuan Ujian Khusus Filkom UB, jika ditolak oleh KPS akan kami infokan melaui email mahasiswa<br /><a href=""https://s.ub.ac.id/ujiankhususfilkomub"">https://s.ub.ac.id/ujiankhususfilkomub</a> Terimakasih "
"Akademik; Tidak bisa masuk link UAS","Terimakasih telah menghubungi halo filkom,<br />Sesuai arahan dari PSIK ;<br />- kapan pun sebenarnya masih bisa<br />- akun google dan email pastikan menggunakan UB (student)<br />- tidak dianjurkan utk ketik manual, diutamakan copas dari data studio<br />- pastikan tidak ada spasi yg masuk<br />- untuk efisiensi dan efektivitas kegiatan UAS, jika ada kendala lagi terkait join UAS bisa disampaikan ke zoom Posko sesuai pengumuman pada web melalui pengawas UAS<br />Untuk memastikan bisa diberi contoh dari username dan contoh kelas serta enrol yg mau dimasukkan Terimakasih"
"Akademik ; Foto Yudisium","Terimakasih telah menghubungi halo filkom,<br />Pendaftaran yudisium per 29 10 2021 sudah melalui filkom apps, untuk detail foto bisa melihat deskripsi pada pengajuan/ daftar yudisium pada akun filkom apps masing2 :<br />1. Background foto wajib biru terang<br />2. Format Foto wajib DOF<br />3. Tidak memakai kacamata<br />4. Tidak memakai jas almamater<br />5. Wajib menggunakan busana nasional/ kebaya (bagi calon wisudawati) Terimakasih"
"Akademik_Turnitin","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link Layanan Plagiasi Turnitin :<br /><a href=""https://filkom.ub.ac.id/layanan-fasilitas/layanan-deteksi-plagiasi/"">https://filkom.ub.ac.id/layanan-fasilitas/layanan-deteksi-plagiasi/</a> Terimakasih"
"Kemahasiswaan - pengambilan KTM","Bisa langsung datang ke ruang kemahasiswaan FILKOM UB di gedung A, ruang A1.5 pada hari dan jam kerja. Harap sebelumnya sudah mengisi form minat bakat melalui tautan berikut <a href=""https://s.id/Bakat_Minat_FILKOM"">s.id/Bakat_Minat_FILKOM</a>. Terima kasih"
"Akademik; Crisis Centre UAS Filkom 2021-1","Terimakasih telah menghubungi halo filkom, <br />Untuk mempercepat progres UAS (sesuai arahan ketua panita UAS), jika ada kendala mahasiswa terkait UAS ; zoom, PIN, jaringan, dll bisa menginfokan kepada bag crisis centre pada hari ini :<br /><a href=""https://univ-brawijaya.zoom.us/j/93004097036?pwd=OVlIM1R5ZmprY0hnTXVUQmppWklaUT09"">https://univ-brawijaya.zoom.us/j/93004097036?pwd=OVlIM1R5ZmprY0hnTXVUQmppWklaUT09</a> Terimakasih "
"Akademik_Perubahan Jurnal JPTIIK ke luar JPTIIK","Terimakasih telah menghubungi halo filkom,<br />Mahasiswa bisa mengisi pada bagian sc2-17 (setelah mahasiswa upload dokumen akhir pada filkom apps) sesuai pengumuman berikut (poin no 4)<br /><a href=""https://filkom.ub.ac.id/2021/04/22/surat-edaran-dekan-tentang-publikasi-jurnal-hasil-skripsi-mahasiswa/"" target=""_blank"">https://filkom.ub.ac.id/2021/04/22/surat-edaran-dekan-tentang-publikasi-jurnal-hasil-skripsi-mahasiswa/</a> Terimakasih"
